codigo,nome,cod_OMM,inicio_operacao,lat,lon,alt,summer_offset,utc_offset,time_zone_id,time_zone_name
A428,Senhor do Bonfim-A428,86611.0,27/03/2008,-10.443072,-40.148244,532,0.0,-10800.0,America/Fortaleza,Brasilia Standard Time
A441,Serrinha-A441,86637.0,09/05/2008,-11.664586,-39.022946,338,0.0,-10800.0,America/Fortaleza,Brasilia Standard Time
A435,Uauá-A435,81992.0,20/05/2008,-9.833617,-39.495631,451,0.0,-10800.0,America/Fortaleza,Brasilia Standard Time
A437,Una-A437,86724.0,25/06/2008,-15.280215,-39.09127,74,0.0,-10800.0,America/Fortaleza,Brasilia Standard Time
A444,Valença-A444,86676.0,29/06/2009,-13.34361,-39.12667,93,0.0,-10800.0,America/Fortaleza,Brasilia Standard Time
A414,Vitória da Conquista-A414,86697.0,01/06/2007,-14.886428,-40.80133,879,0.0,-10800.0,America/Fortaleza,Brasilia Standard Time
A360,Acaraú-A360,81755.0,22/04/2009,-3.121067,-40.087288,67,0.0,-10800.0,America/Fortaleza,Brasilia Standard Time
A315,Barbalha-A315,81911.0,31/05/2007,-7.300925,-39.271107,409,0.0,-10800.0,America/Fortaleza,Brasilia Standard Time
A347,Campos Sales-A347,81909.0,07/03/2008,-7.07773,-40.362678,578,0.0,-10800.0,America/Fortaleza,Brasilia Standard Time
A342,Crateús-A342,81830.0,11/12/2008,-5.186636,-40.672128,298,0.0,-10800.0,America/Fortaleza,Brasilia Standard Time
A305,Fortaleza-A305,81758.0,18/02/2003,-3.815701,-38.537792,30,0.0,-10800.0,America/Fortaleza,Brasilia Standard Time
A314,Guaramiranga-A314,81797.0,26/05/2007,-4.261351,-38.931068,866,0.0,-10800.0,America/Fortaleza,Brasilia Standard Time
A319,Iguatu-A319,81873.0,30/05/2007,-6.396375,-39.268954,222,0.0,-10800.0,America/Fortaleza,Brasilia Standard Time
A359,Itapipoca-A359,81756.0,05/09/2008,-3.484298,-39.588715,104,0.0,-10800.0,America/Fortaleza,Brasilia Standard Time
A358,Jaguaribe-A358,81833.0,10/09/2008,-5.905589,-38.627792,149,0.0,-10800.0,America/Fortaleza,Brasilia Standard Time
A339,Jaguaruana-A339,81798.0,10/11/2007,-4.853511,-37.777189,17,0.0,-10800.0,America/Fortaleza,Brasilia Standard Time
A332,Morada Nova-A332,81832.0,24/08/2007,-5.136689,-38.35659,45,0.0,-10800.0,America/Fortaleza,Brasilia Standard Time
A325,Quixeramobim-A325,81831.0,09/07/2007,-5.174568,-39.289393,221,0.0,-10800.0,America/Fortaleza,Brasilia Standard Time
A306,Sobral-A306,81754.0,12/02/2003,-3.748177,-40.34572,92,0.0,-10800.0,America/Fortaleza,Brasilia Standard Time
A324,Tauá-A324,81872.0,12/07/2007,-6.017474,-40.281321,411,0.0,-10800.0,America/Fortaleza,Brasilia Standard Time
A045,Águas Emendadas-A045,86716.0,02/10/2008,-15.596491,-47.625801,1030,3600.0,-10800.0,America/Sao_Paulo,Brasilia Summer Time
A001,Brasília-A001,86715.0,07/05/2000,-15.789343,-47.925756,1161,3600.0,-10800.0,America/Sao_Paulo,Brasilia Summer Time
A047,PLANALTINA (COOPA)-A047,86733.0,07/02/2017,-16.012222,-47.557417,1043,3600.0,-10800.0,America/Sao_Paulo,Brasilia Summer Time
A657,Afonso Cláudio-A657,86827.0,25/09/2011,-20.104194,-41.106861,507,3600.0,-10800.0,America/Sao_Paulo,Brasilia Summer Time
A617,Alegre-A617,86828.0,25/10/2006,-20.750412,-41.488852,129,3600.0,-10800.0,America/Sao_Paulo,Brasilia Summer Time
A615,Alfredo Chaves-A615,86829.0,02/11/2006,-20.636526,-40.741818,14,3600.0,-10800.0,America/Sao_Paulo,Brasilia Summer Time
A631,Ecoporanga-A631,,17/03/2017,-18.291519,-40.736412,224,3600.0,-10800.0,America/Sao_Paulo,Brasilia Summer Time
A614,Linhares-A614,86805.0,27/10/2006,-19.356923,-40.06868,38,3600.0,-10800.0,America/Sao_Paulo,Brasilia Summer Time
A632,Marilândia-A632,,20/03/2017,-19.407181,-40.539825,95,3600.0,-10800.0,America/Sao_Paulo,Brasilia Summer Time
A623,Nova Venécia-A623,86785.0,23/06/2008,-18.695265,-40.390572,156,3600.0,-10800.0,America/Sao_Paulo,Brasilia Summer Time
A622,Presidente Kennedy-A622,86853.0,18/06/2008,-21.100805,-41.039395,69,3600.0,-10800.0,America/Sao_Paulo,Brasilia Summer Time
A613,Santa Teresa-A613,86804.0,09/08/2007,-19.988388,-40.579572,976,3600.0,-10800.0,America/Sao_Paulo,Brasilia Summer Time
A616,São Mateus-A616,86786.0,25/10/2006,-18.676198,-39.864051,29,3600.0,-10800.0,America/Sao_Paulo,Brasilia Summer Time
A633,Venda Nova do Imigrante-A633,,11/02/2017,-20.385423,-41.1899342,722,3600.0,-10800.0,America/Sao_Paulo,Brasilia Summer Time
A634,Vila Velha-A634,86831.0,15/02/2017,-20.467069,-40.404051,25,3600.0,-10800.0,America/Sao_Paulo,Brasilia Summer Time
A612,Vitória-A612,86830.0,31/10/2006,-20.271094,-40.306069,9,3600.0,-10800.0,America/Sao_Paulo,Brasilia Summer Time
